seguridad.nombre_barrio,promedio_robos,casos_totales,nivel_geo,seguridad.codigo_barrio,seguridad.codigo_comuna,zona_clave,municipio_x,promedio_robos_municipio,casos_municipio,departamento,sector,comuna,municipio_y,promedio_arriendo_apartamento,rango_apartamento,promedio_arriendo_casa,rango_casa,promedio_arriendo_local,rango_local,indice_riesgo,nivel_riesgo,alerta
ROBLEDO,2.5121951219512195,103.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.05902930252982725,🥉 Bronce,🚨 Alerta Roja
ROSALES,2.0,78.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.04699420201403723,🥈 Plata,🟠 Alerta Media
SAN ANTONIO,1.5,3.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.03524565151052792,🥇 Oro,🟢 Segura
SAN BENITO,4.395348837209302,378.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.10327795558898879,🧱 Cobre,🚨 Alerta Roja
SAN BERNARDO,1.6666666666666667,25.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.03916183501169769,🥇 Oro,🟢 Segura
SAN DIEGO,4.0,208.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.09398840402807446,🧱 Cobre,🚨 Alerta Roja
SAN GERMAN,1.9565217391304348,45.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.045972588926775554,🥈 Plata,🟠 Alerta Media
SAN ISIDRO,1.9230769230769231,25.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.04518673270580503,🥈 Plata,🟠 Alerta Media
SAN JAVIER NO1,1.4444444444444444,26.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.033940257010137996,🥇 Oro,🟢 Segura
SAN JAVIER NO2,1.8,36.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.042294781812633506,🥇 Oro,🟢 Segura
SAN JOAQUIN,2.5757575757575757,85.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.06052283592716916,🥉 Bronce,🚨 Alerta Roja
SAN JOSE DEL MANZANILLO,2.0,4.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.04699420201403723,🥈 Plata,🟠 Alerta Media
SAN LUCAS,1.75,7.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.04111992676228258,🥇 Oro,🟢 Segura
